Relative Time (s);Temperature (C);Humidity (%)
115;25.87;82.97
116;26.04;84.22
116;26.15;85.24
117;26.26;86.14
117;26.38;86.87
118;26.49;87.48
119;26.59;88.05
119;26.68;88.49
120;26.76;88.86
120;26.82;89.21
124;27.01;90.39
124;26.90;90.52
125;26.51;90.59
125;26.25;90.01
126;26.11;88.92
127;26.21;88.18
127;26.51;88.14
128;26.64;88.44
128;26.75;88.72
129;26.82;88.88
129;26.87;89.01
130;26.93;89.08
130;26.93;89.11
131;27.01;89.11
131;27.07;89.10
132;27.08;89.11
133;27.13;89.10
133;27.17;89.04
134;27.23;89.08
134;27.27;89.07
135;27.33;89.01
135;27.38;88.95
136;27.42;88.95
136;27.50;88.93
137;27.55;88.88
137;27.58;88.83
138;27.40;88.75
139;27.08;88.47
139;26.89;87.39
140;26.69;85.82
140;26.52;84.07
141;26.35;82.29
141;26.15;80.36
142;25.92;78.33
142;25.71;76.14
143;25.53;74.20
143;25.36;72.49
144;25.27;71.14
145;25.15;69.97
145;25.08;68.77
146;24.98;67.72
146;24.92;66.87
147;24.86;66.29
147;24.76;65.85
148;24.72;65.35
148;24.67;64.91
149;24.58;64.56
150;24.55;64.11
150;24.54;63.58
151;24.48;63.04
151;24.44;62.54
152;24.40;62.03
152;24.38;61.63
153;24.35;61.37
153;24.31;61.20
154;24.31;61.08
154;24.27;60.97
155;24.27;60.83
156;24.24;60.66
156;24.18;60.54
157;24.16;60.41
157;24.17;60.29
158;24.13;60.14
158;24.11;60.01
159;24.09;59.89
159;24.04;59.82
160;24.01;59.64
160;24.01;59.51
161;24.00;59.34
162;23.94;59.20
162;23.96;59.05
163;23.94;58.93
163;23.92;58.84
164;23.89;58.80
166;23.83;58.72
167;23.80;58.69
167;23.79;58.69
